num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,6.913110772633059,26
1,0.5,0.95,0.95,17.249639141330423,70
2,0.5,0.95,0.95,32.794855246940855,68
3,0.5,0.95,0.95,-10.106775947930378,21
4,0.5,0.95,0.95,4.305378725559397,29
5,0.5,0.95,0.95,-1.5350192258329978,35
6,0.5,0.95,0.95,-1.2955401162108648,22
7,0.5,0.95,0.95,-0.5615814831943733,15
8,0.5,0.95,0.95,5.487952015508681,21
9,0.5,0.95,0.95,-14.76567020552401,33
10,0.5,0.95,0.95,0.8130435011200876,27
11,0.5,0.95,0.95,-3.8578184464694703,45
12,0.5,0.95,0.95,-9.038774994181864,35
13,0.5,0.95,0.95,-0.6878380647587885,11
14,0.5,0.95,0.95,-2.823576817547724,24
15,0.5,0.95,0.95,1.6196090368515321,35
16,0.5,0.95,0.95,-1.8485433780934746,18
17,0.5,0.95,0.95,-0.69514555986427,18
18,0.5,0.95,0.95,1.101845702667231,16
19,0.5,0.95,0.95,0.3827285215518834,22
20,0.5,0.95,0.95,0.7989389633215056,21
21,0.5,0.95,0.95,-0.15048892770654465,22
22,0.5,0.95,0.95,15.758352502200495,37
23,0.5,0.95,0.95,-1.56177495713756,50
24,0.5,0.95,0.95,1.8469462375096781,46
25,0.5,0.95,0.95,13.129259078055965,64
26,0.5,0.95,0.95,0.757289610566785,39
27,0.5,0.95,0.95,-0.31252082424822847,15
28,0.5,0.95,0.95,9.526382979446236,41
29,0.5,0.95,0.95,0.4994615355061547,23
30,0.5,0.95,0.95,5.4518534012417526,51
31,0.5,0.95,0.95,17.581352430005012,46
32,0.5,0.95,0.95,0.5632233750431499,26
33,0.5,0.95,0.95,1.0569231135183812,38
34,0.5,0.95,0.95,-3.097708437396134,32
35,0.5,0.95,0.95,-3.4443657333939433,32
36,0.5,0.95,0.95,-1.8652295567034964,15
37,0.5,0.95,0.95,-12.701452597364751,26
38,0.5,0.95,0.95,1.6160229612479697,40
39,0.5,0.95,0.95,-0.020813967692338897,33
40,0.5,0.95,0.95,0.7973316924994835,24
41,0.5,0.95,0.95,0.23874120398598953,30
42,0.5,0.95,0.95,2.0487488281928443,34
43,0.5,0.95,0.95,1.595885767726748,37
44,0.5,0.95,0.95,-2.321647754130522,15
45,0.5,0.95,0.95,-0.3143011687437669,15
46,0.5,0.95,0.95,0.9653882150788853,24
47,0.5,0.95,0.95,-2.216416995970339,15
48,0.5,0.95,0.95,3.027558779881028,84
49,0.5,0.95,0.95,5.947434626468573,44
50,0.5,0.95,0.95,-2.714734249438183,26
51,0.5,0.95,0.95,8.799513703604715,70
52,0.5,0.95,0.95,-13.998037486088418,38
53,0.5,0.95,0.95,-2.8207834910887937,26
54,0.5,0.95,0.95,-9.730487099272063,15
55,0.5,0.95,0.95,-2.971908469367251,46
56,0.5,0.95,0.95,-2.7024236896517353,19
57,0.5,0.95,0.95,-2.8549920795278623,20
58,0.5,0.95,0.95,-6.850815104337316,34
59,0.5,0.95,0.95,6.428601622122911,56
60,0.5,0.95,0.95,-10.05057995996184,34
61,0.5,0.95,0.95,0.16895815758538824,25
62,0.5,0.95,0.95,1.3644457237911607,69
63,0.5,0.95,0.95,-11.598210080389983,21
64,0.5,0.95,0.95,3.292100897151995,35
65,0.5,0.95,0.95,0.9748786105540814,77
66,0.5,0.95,0.95,-2.405681695722354,30
67,0.5,0.95,0.95,58.36982917952978,88
68,0.5,0.95,0.95,2.909520085289172,45
69,0.5,0.95,0.95,-5.45311119376177,43
70,0.5,0.95,0.95,-0.9703722890100679,46
71,0.5,0.95,0.95,13.737664762931313,148
72,0.5,0.95,0.95,30.150699829112277,61
73,0.5,0.95,0.95,-4.0,26
74,0.5,0.95,0.95,23.483032997006447,36
75,0.5,0.95,0.95,9.565607906123038,47
76,0.5,0.95,0.95,-2.5351029274401693,17
77,0.5,0.95,0.95,2.189017532374421,35
78,0.5,0.95,0.95,-1.1656437923497567,27
79,0.5,0.95,0.95,9.833955295203031,30
80,0.5,0.95,0.95,-22.249811559467556,53
81,0.5,0.95,0.95,-4.365633857208451,47
82,0.5,0.95,0.95,-0.8859909605036402,18
83,0.5,0.95,0.95,-5.788439011566137,73
84,0.5,0.95,0.95,-0.362447732128409,16
85,0.5,0.95,0.95,-4.080182252720761,63
86,0.5,0.95,0.95,-1.6886398195614762,40
87,0.5,0.95,0.95,11.676392933797937,56
88,0.5,0.95,0.95,9.48269324233627,24
89,0.5,0.95,0.95,7.289711502542222,25
90,0.5,0.95,0.95,-3.482844451081133,16
91,0.5,0.95,0.95,4.654955340712026,36
92,0.5,0.95,0.95,8.387874629333073,17
93,0.5,0.95,0.95,53.949626362257675,103
94,0.5,0.95,0.95,-5.511684043094857,34
95,0.5,0.95,0.95,-3.0280160767264377,18
96,0.5,0.95,0.95,2.211856452924966,26
97,0.5,0.95,0.95,-1.460967478288778,14
98,0.5,0.95,0.95,16.5102860873506,51
99,0.5,0.95,0.95,0.09132355936654002,28
100,0.5,0.95,0.95,5.7866687355175435,60
101,0.5,0.95,0.95,0.27354548121828626,18
102,0.5,0.95,0.95,0.7806354363227075,23
103,0.5,0.95,0.95,13.409048025421761,29
104,0.5,0.95,0.95,-1.5230871771093346,25
105,0.5,0.95,0.95,-49.6504818345039,67
106,0.5,0.95,0.95,-1.5068290928799581,80
107,0.5,0.95,0.95,-3.0616001693886177,21
108,0.5,0.95,0.95,0.6095657123946803,39
109,0.5,0.95,0.95,2.4307216885831275,39
110,0.5,0.95,0.95,-5.345140279091042,30
111,0.5,0.95,0.95,16.846609284774427,49
112,0.5,0.95,0.95,-21.0,21
113,0.5,0.95,0.95,30.401588836148857,44
114,0.5,0.95,0.95,-11.194996367755692,25
115,0.5,0.95,0.95,-4.992346690500005,34
116,0.5,0.95,0.95,-0.37231219638664026,20
117,0.5,0.95,0.95,-0.5548248899978118,22
118,0.5,0.95,0.95,-1.0234416548470828,37
119,0.5,0.95,0.95,27.324869912951918,54
120,0.5,0.95,0.95,0.029284070824246777,16
121,0.5,0.95,0.95,-2.5994152745510246,31
122,0.5,0.95,0.95,-2.214198945649922,24
123,0.5,0.95,0.95,-5.353510812343241,36
124,0.5,0.95,0.95,-0.8908152724160505,48
125,0.5,0.95,0.95,0.07045065747175006,17
126,0.5,0.95,0.95,4.92188556758206,80
127,0.5,0.95,0.95,0.4170634311256831,63
128,0.5,0.95,0.95,15.130497681896536,53
129,0.5,0.95,0.95,0.8558936851042598,36
130,0.5,0.95,0.95,-1.4215813405365232,82
131,0.5,0.95,0.95,8.219264868637355,51
132,0.5,0.95,0.95,14.419981297215553,39
133,0.5,0.95,0.95,7.714154166005882,65
134,0.5,0.95,0.95,2.1631514906261766,30
135,0.5,0.95,0.95,-2.0816051279057666,23
136,0.5,0.95,0.95,5.983741696268008,25
137,0.5,0.95,0.95,37.47707424505528,61
138,0.5,0.95,0.95,13.183312724125306,72
139,0.5,0.95,0.95,-0.5702209218400445,45
140,0.5,0.95,0.95,-10.424074531716933,28
141,0.5,0.95,0.95,-6.651130177441704,65
142,0.5,0.95,0.95,1.129401143383272,23
143,0.5,0.95,0.95,-25.35817302716846,84
144,0.5,0.95,0.95,30.63126635935414,76
145,0.5,0.95,0.95,4.711519903488616,43
146,0.5,0.95,0.95,2.9948654063066327,33
147,0.5,0.95,0.95,1.5906664233069745,16
148,0.5,0.95,0.95,-0.6943577023693711,32
149,0.5,0.95,0.95,13.437346215593696,33
150,0.5,0.95,0.95,12.079619432851292,42
151,0.5,0.95,0.95,-4.1105577281791845,34
152,0.5,0.95,0.95,-0.2639421428352996,19
153,0.5,0.95,0.95,-0.09978241086088213,21
154,0.5,0.95,0.95,0.0650579784311609,14
155,0.5,0.95,0.95,-0.7276129909101798,33
156,0.5,0.95,0.95,-2.024462815256173,32
157,0.5,0.95,0.95,-0.45249074415522816,19
158,0.5,0.95,0.95,-0.012471802362854945,16
159,0.5,0.95,0.95,7.6165794802387055,30
160,0.5,0.95,0.95,-4.337294875451427,41
161,0.5,0.95,0.95,-40.63727271714273,128
162,0.5,0.95,0.95,-0.4465374215544975,11
163,0.5,0.95,0.95,2.60202471138256,24
164,0.5,0.95,0.95,8.462560212725734,67
165,0.5,0.95,0.95,3.0564462476284753,38
166,0.5,0.95,0.95,6.859885427826391,76
167,0.5,0.95,0.95,29.385585658119457,61
168,0.5,0.95,0.95,-0.6932270888634627,31
169,0.5,0.95,0.95,0.45106735074192095,26
170,0.5,0.95,0.95,4.365245694841025,47
171,0.5,0.95,0.95,1.4698339627777828,28
172,0.5,0.95,0.95,0.8612671716110263,22
173,0.5,0.95,0.95,1.556131849681167,24
174,0.5,0.95,0.95,10.060945654151574,27
175,0.5,0.95,0.95,-2.697013490413097,18
176,0.5,0.95,0.95,2.787080432051405,60
177,0.5,0.95,0.95,-0.3657859774349115,63
178,0.5,0.95,0.95,-3.8593291044094324,22
179,0.5,0.95,0.95,-2.4242366671581466,18
180,0.5,0.95,0.95,-2.004182988366093,14
181,0.5,0.95,0.95,-2.418128848737479,40
182,0.5,0.95,0.95,0.28877145139834215,24
183,0.5,0.95,0.95,8.22229005580898,51
184,0.5,0.95,0.95,-2.0973888511258485,23
185,0.5,0.95,0.95,-2.3167531649471256,15
186,0.5,0.95,0.95,2.610941732388425,30
187,0.5,0.95,0.95,3.6037868096451575,30
188,0.5,0.95,0.95,-2.7113984263212405,22
189,0.5,0.95,0.95,-0.19650813949255141,15
190,0.5,0.95,0.95,-2.363778412403454,57
191,0.5,0.95,0.95,2.0839845520869122,69
192,0.5,0.95,0.95,-0.7238631432436601,9
193,0.5,0.95,0.95,-5.049902867864174,99
194,0.5,0.95,0.95,0.6597629941011405,26
195,0.5,0.95,0.95,-0.47056007441397185,18
196,0.5,0.95,0.95,-2.460217515018037,19
197,0.5,0.95,0.95,0.4208889795786237,38
198,0.5,0.95,0.95,2.319570750643727,35
199,0.5,0.95,0.95,0.07671319952069466,18
200,0.5,0.95,0.95,-1.8189800253018018,29
201,0.5,0.95,0.85,-2.599154478639042,21
202,0.5,0.95,0.85,-2.1123879269737285,12
203,0.5,0.95,0.85,-0.5145936347127072,9
204,0.5,0.95,0.85,4.617248585766408,30
205,0.5,0.95,0.85,2.1171179351816387,45
206,0.5,0.95,0.85,-4.4161235290769785,28
207,0.5,0.95,0.85,14.156151380432227,59
208,0.5,0.95,0.85,0.39672767315258617,42
209,0.5,0.95,0.85,-14.178915365672088,40
210,0.5,0.95,0.85,0.6984476329104483,74
211,0.5,0.95,0.85,2.196924786754402,18
212,0.5,0.95,0.85,-2.936870213577566,39
213,0.5,0.95,0.85,-8.820973927852712,53
214,0.5,0.95,0.85,-0.4837301290280217,14
215,0.5,0.95,0.85,68.40890606833611,222
216,0.5,0.95,0.85,-1.04257040620274,37
217,0.5,0.95,0.85,0.23981634822578313,10
218,0.5,0.95,0.85,-0.5053249673023568,71
219,0.5,0.95,0.85,-7.217578603354255,19
220,0.5,0.95,0.85,-2.2378954242937006,27
221,0.5,0.95,0.85,0.8865524091250374,46
222,0.5,0.95,0.85,8.340720552939409,55
223,0.5,0.95,0.85,-0.142384674541716,12
224,0.5,0.95,0.85,13.366875309924911,65
225,0.5,0.95,0.85,0.42782698658306173,32
226,0.5,0.95,0.85,-2.0430336231763926,16
227,0.5,0.95,0.85,-2.6963796187945146,29
228,0.5,0.95,0.85,-0.3383887351954329,17
229,0.5,0.95,0.85,6.814723962070117,18
230,0.5,0.95,0.85,19.892482257111222,44
231,0.5,0.95,0.85,10.832041361458346,36
232,0.5,0.95,0.85,3.446722060989676,25
233,0.5,0.95,0.85,-1.3690218089865804,16
234,0.5,0.95,0.85,-0.058668576710780185,25
235,0.5,0.95,0.85,19.8818625955899,55
236,0.5,0.95,0.85,-3.4092479462110092,61
237,0.5,0.95,0.85,1.6950899032367746,54
238,0.5,0.95,0.85,4.697512475898601,55
239,0.5,0.95,0.85,8.76666139408761,91
240,0.5,0.95,0.85,-21.161824618001443,56
241,0.5,0.95,0.85,-2.209926156508803,16
242,0.5,0.95,0.85,1.4781300164082944,24
243,0.5,0.95,0.85,-6.520899217415272,42
244,0.5,0.95,0.85,15.375258084455183,44
245,0.5,0.95,0.85,15.093979435220994,37
246,0.5,0.95,0.85,12.47844174508402,34
247,0.5,0.95,0.85,16.049832365211174,36
248,0.5,0.95,0.85,17.443458755533378,38
249,0.5,0.95,0.85,10.712444502011234,32
250,0.5,0.95,0.85,0.38829632519757595,31
251,0.5,0.95,0.85,-0.43397620956873717,16
252,0.5,0.95,0.85,-14.499246131257056,36
253,0.5,0.95,0.85,6.7362065627076895,31
254,0.5,0.95,0.85,0.5974751700091538,16
255,0.5,0.95,0.85,-8.781001663534315,26
256,0.5,0.95,0.85,62.9341742335897,111
257,0.5,0.95,0.85,-7.545293861830258,43
258,0.5,0.95,0.85,-3.046426733343224,22
259,0.5,0.95,0.85,-0.20997087035941153,17
260,0.5,0.95,0.85,8.553616414803837,33
261,0.5,0.95,0.85,-0.25098638548015884,43
262,0.5,0.95,0.85,-16.775471992379803,53
263,0.5,0.95,0.85,-2.701107128353261,25
264,0.5,0.95,0.85,-2.699469337287848,15
265,0.5,0.95,0.85,-5.288408693173452,42
266,0.5,0.95,0.85,-2.424490840840263,14
267,0.5,0.95,0.85,-2.0829670885751903,14
268,0.5,0.95,0.85,-0.29612717156438084,20
269,0.5,0.95,0.85,7.074100018472068,22
270,0.5,0.95,0.85,-6.454668319032477,20
271,0.5,0.95,0.85,-0.12746267268803724,25
272,0.5,0.95,0.85,-37.73836145646183,76
273,0.5,0.95,0.85,10.400244059475003,64
274,0.5,0.95,0.85,0.8180908048651832,14
275,0.5,0.95,0.85,6.60576256914665,28
276,0.5,0.95,0.85,-1.6875881844693743,23
277,0.5,0.95,0.85,2.650836399273802,23
278,0.5,0.95,0.85,-0.5348754575001928,11
