num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,-3.008724814840541,65
1,0.5,0.95,0.95,13.286118585970158,28
2,0.5,0.95,0.95,61.0496087976598,137
3,0.5,0.95,0.95,41.91608446701551,54
4,0.5,0.95,0.95,-14.0,14
5,0.5,0.95,0.95,-2.5949118407176663,12
6,0.5,0.95,0.95,-16.065420817362174,23
7,0.5,0.95,0.95,-2.43659075022445,13
8,0.5,0.95,0.95,-1.6692565763709313,10
9,0.5,0.95,0.95,-1.4951458241707698,13
10,0.5,0.95,0.95,2.3309675209085166,29
11,0.5,0.95,0.95,-9.38998548759232,47
12,0.5,0.95,0.95,-1.9588026798936635,22
13,0.5,0.95,0.95,-2.257565952078633,13
14,0.5,0.95,0.95,-0.3817710671867899,11
15,0.5,0.95,0.95,-0.665356245972651,25
16,0.5,0.95,0.95,31.89094827711117,50
17,0.5,0.95,0.95,-0.6358711232174521,26
18,0.5,0.95,0.95,0.6391369021914852,19
19,0.5,0.95,0.95,20.609961575450004,48
20,0.5,0.95,0.95,-0.7112818614274107,14
21,0.5,0.95,0.95,-0.2698323524053997,17
22,0.5,0.95,0.95,-1.1360864756385043,11
23,0.5,0.95,0.95,-1.7884243480443578,10
24,0.5,0.95,0.95,-1.5469636923827557,21
25,0.5,0.95,0.95,-1.7466488651487382,16
26,0.5,0.95,0.95,3.351690409666941,20
27,0.5,0.95,0.95,-0.31115751842299466,16
28,0.5,0.95,0.95,-0.7729001661433111,12
29,0.5,0.95,0.95,-1.4194062140690902,10
30,0.5,0.95,0.95,15.86079015701467,47
31,0.5,0.95,0.95,-0.15191494502098313,14
32,0.5,0.95,0.95,-1.6906649454915184,19
33,0.5,0.95,0.95,19.902109809615265,57
34,0.5,0.95,0.95,-1.883011440045935,17
35,0.5,0.95,0.95,8.440802117540606,19
36,0.5,0.95,0.95,-5.657048145024094,11
37,0.5,0.95,0.95,-1.6921930759843105,15
38,0.5,0.95,0.95,-5.519530566506624,48
39,0.5,0.95,0.95,-2.019559675156375,33
40,0.5,0.95,0.95,-2.802538078499338,14
41,0.5,0.95,0.95,-0.7150856111366306,10
42,0.5,0.95,0.95,0.7155647845394351,27
43,0.5,0.95,0.95,23.537925918589313,34
44,0.5,0.95,0.95,-8.805912550253701,15
45,0.5,0.95,0.95,-12.529842674388217,23
46,0.5,0.95,0.95,-0.7550791864717771,30
47,0.5,0.95,0.95,0.8166029076767263,16
48,0.5,0.95,0.95,-2.233122064552795,17
49,0.5,0.95,0.95,-3.3979422066708245,33
50,0.5,0.95,0.95,-0.5721973658779306,10
51,0.5,0.95,0.95,8.08018122629742,35
52,0.5,0.95,0.95,-0.0708174028754891,19
53,0.5,0.95,0.95,3.459587136676248,25
54,0.5,0.95,0.95,-1.0,15
55,0.5,0.95,0.95,-1.438819369616624,9
56,0.5,0.95,0.95,-1.488844607131385,13
57,0.5,0.95,0.95,-2.8274072898922826,19
58,0.5,0.95,0.95,16.579156642935715,71
59,0.5,0.95,0.95,3.236105753772815,33
60,0.5,0.95,0.95,11.37700546792873,34
61,0.5,0.95,0.95,9.0,11
62,0.5,0.95,0.95,-5.0,19
63,0.5,0.95,0.95,42.85837653104223,65
64,0.5,0.95,0.95,1.6770296403526945,15
65,0.5,0.95,0.95,5.716244955605532,34
66,0.5,0.95,0.95,2.8048694376855687,21
67,0.5,0.95,0.95,-1.2538809682584895,24
68,0.5,0.95,0.95,-0.6004729243421005,13
69,0.5,0.95,0.95,-0.9163005690124238,14
70,0.5,0.95,0.95,-6.447693015891637,25
71,0.5,0.95,0.95,-0.5846796613153408,14
72,0.5,0.95,0.95,9.237580860390265,22
73,0.5,0.95,0.95,-1.9963951505905526,16
74,0.5,0.95,0.95,-2.707949229372758,19
75,0.5,0.95,0.95,-3.3052882294739057,17
76,0.5,0.95,0.95,6.027312738768003,15
77,0.5,0.95,0.95,-0.972651100807742,17
78,0.5,0.95,0.95,0.03132946021549543,14
79,0.5,0.95,0.95,-2.9001384683676856,21
80,0.5,0.95,0.95,-1.0,1
81,0.5,0.95,0.95,19.760038730459403,55
82,0.5,0.95,0.95,20.19103773279085,25
83,0.5,0.95,0.95,-6.31016952318373,47
84,0.5,0.95,0.95,-2.424196467119126,21
85,0.5,0.95,0.95,-13.183748935608673,26
86,0.5,0.95,0.95,-3.7181315836289914,21
87,0.5,0.95,0.95,-1.4800075509285078,21
88,0.5,0.95,0.95,-0.5266710960441948,22
89,0.5,0.95,0.95,-1.9904793588036789,37
90,0.5,0.95,0.95,0.27796892043237853,14
91,0.5,0.95,0.95,0.014899894061766172,11
92,0.5,0.95,0.95,-0.6935747247030909,11
93,0.5,0.95,0.95,-0.5326793554775777,13
94,0.5,0.95,0.95,-6.152181445408031,12
95,0.5,0.95,0.95,-5.838715477315805,21
96,0.5,0.95,0.95,4.975190852118047,33
97,0.5,0.95,0.95,-0.34622582864662665,18
98,0.5,0.95,0.95,10.604765659144967,21
99,0.5,0.95,0.95,4.003924692584238,18
100,0.5,0.95,0.95,-3.5991050461144334,20
101,0.5,0.95,0.95,-0.3608064762907315,20
102,0.5,0.95,0.95,-0.6897598316408472,22
103,0.5,0.95,0.95,9.102005367883203,84
104,0.5,0.95,0.95,0.9795820848859904,41
105,0.5,0.95,0.95,-2.925776969291446,21
106,0.5,0.95,0.95,3.667970907800992,30
107,0.5,0.95,0.95,-0.2663498744049416,20
108,0.5,0.95,0.95,0.5631326910418328,28
109,0.5,0.95,0.95,0.6464953418429975,26
110,0.5,0.95,0.95,-1.970965347846938,16
111,0.5,0.95,0.95,8.007662668392538,63
112,0.5,0.95,0.95,23.626723404541607,66
113,0.5,0.95,0.95,3.8944348565683784,58
114,0.5,0.95,0.95,-1.892654325787852,12
115,0.5,0.95,0.95,0.3670634789615219,36
116,0.5,0.95,0.95,42.07792319568115,111
117,0.5,0.95,0.95,35.183142614756896,147
118,0.5,0.95,0.95,-6.172389597728382,20
119,0.5,0.95,0.95,-1.3196583339356307,49
120,0.5,0.95,0.95,-0.7668820639389006,13
121,0.5,0.95,0.95,8.279476442480222,41
122,0.5,0.95,0.95,-1.0309378973386205,13
123,0.5,0.95,0.95,-0.652969975925384,9
124,0.5,0.95,0.95,-0.9272831695780717,41
125,0.5,0.95,0.95,8.735519670017243,42
126,0.5,0.95,0.95,-0.6933839074166304,12
127,0.5,0.95,0.95,-1.3746354307009492,12
128,0.5,0.95,0.95,-12.436414011137579,25
129,0.5,0.95,0.95,8.273910539594924,47
130,0.5,0.95,0.95,-19.0,19
131,0.5,0.95,0.95,0.1425109183160762,57
132,0.5,0.95,0.95,2.5653097680245938,25
133,0.5,0.95,0.95,-11.199359074441556,50
134,0.5,0.95,0.95,1.410307717723028,47
135,0.5,0.95,0.95,8.12574466831789,56
136,0.5,0.95,0.95,-0.7996943398413069,10
137,0.5,0.95,0.95,0.7667855004077109,30
138,0.5,0.95,0.95,-2.470774611550275,14
139,0.5,0.95,0.95,-0.37443963113269807,14
140,0.5,0.95,0.95,-0.07326638773367777,17
141,0.5,0.95,0.95,0.8097754566589712,20
142,0.5,0.95,0.95,-1.9622698537557826,45
143,0.5,0.95,0.95,1.740534661033101,48
144,0.5,0.95,0.95,0.30224855166095166,51
145,0.5,0.95,0.95,-2.646605612221844,23
146,0.5,0.95,0.95,-0.2372166272937286,16
147,0.5,0.95,0.95,-2.155399932458002,13
148,0.5,0.95,0.95,-12.0,16
149,0.5,0.95,0.95,24.5637014346965,56
150,0.5,0.95,0.95,-9.953570478267869,15
151,0.5,0.95,0.95,-0.3441807689111769,16
152,0.5,0.95,0.95,-11.109747819418299,24
153,0.5,0.95,0.95,-11.068303292454392,22
154,0.5,0.95,0.95,-30.520403109659682,53
155,0.5,0.95,0.95,26.814521708617452,49
156,0.5,0.95,0.95,-1.7695911274793248,11
157,0.5,0.95,0.95,-0.1228798132926956,16
158,0.5,0.95,0.95,0.25256125292066045,23
159,0.5,0.95,0.95,-1.0297502123812685,36
160,0.5,0.95,0.95,-6.833231380889477,30
161,0.5,0.95,0.95,-1.381704183602194,13
162,0.5,0.95,0.95,-2.386608658803201,19
163,0.5,0.95,0.95,-2.013674171819198,55
164,0.5,0.95,0.95,-0.5111651908768684,14
165,0.5,0.95,0.95,-0.3006243616097307,12
166,0.5,0.95,0.95,1.30369057842772,18
167,0.5,0.95,0.95,0.2766962855663584,13
168,0.5,0.95,0.95,0.26442797123109685,27
169,0.5,0.95,0.95,-7.464231664047241,39
170,0.5,0.95,0.95,-0.6718887779905076,14
171,0.5,0.95,0.95,-0.4078259500991295,25
172,0.5,0.95,0.95,-1.5857378906601407,30
173,0.5,0.95,0.95,-0.4162869815746877,23
174,0.5,0.95,0.95,-0.6874695593592433,11
175,0.5,0.95,0.95,-1.931183144146146,10
176,0.5,0.95,0.95,-0.8496353331809269,10
177,0.5,0.95,0.95,7.755348036913325,24
178,0.5,0.95,0.95,-3.8140127798032326,32
179,0.5,0.95,0.95,-0.2634412918768926,18
180,0.5,0.95,0.95,-2.0801807594527113,11
181,0.5,0.95,0.95,-4.437592855519377,49
182,0.5,0.95,0.95,-4.24314957807597,20
183,0.5,0.95,0.95,0.26467597319517,33
184,0.5,0.95,0.95,-0.6143266822322683,15
185,0.5,0.95,0.95,0.3463499387446223,16
186,0.5,0.95,0.95,-16.12413702863533,42
187,0.5,0.95,0.95,1.5585057634163721,27
188,0.5,0.95,0.95,-7.296463279272806,24
189,0.5,0.95,0.95,-0.18525436341091195,33
190,0.5,0.95,0.95,-2.0899887254200316,33
191,0.5,0.95,0.95,0.34049279839295776,21
192,0.5,0.95,0.95,-0.5118418214569003,29
193,0.5,0.95,0.95,-13.549144445074056,36
194,0.5,0.95,0.95,0.40640240576771114,52
195,0.5,0.95,0.95,4.020872044321224,19
196,0.5,0.95,0.95,-2.028047940181783,10
197,0.5,0.95,0.95,0.1483456314893643,26
198,0.5,0.95,0.95,-1.457784565823826,21
199,0.5,0.95,0.95,1.0919137147720503,19
200,0.5,0.95,0.95,-0.1958124928142838,19
201,0.5,0.95,0.95,-0.6946506686120586,7
202,0.5,0.95,0.95,-5.258052344768779,18
203,0.5,0.95,0.95,-10.458591811828331,25
204,0.5,0.95,0.95,0.39486821722154186,15
205,0.5,0.95,0.95,30.074040096017594,84
206,0.5,0.95,0.95,10.0,12
207,0.5,0.95,0.95,-2.776746809897249,14
208,0.5,0.95,0.95,-0.7597899083845139,12
209,0.5,0.95,0.95,39.191271225972336,89
210,0.5,0.95,0.95,-12.312114613747681,33
211,0.5,0.95,0.95,-1.4216285099297872,37
212,0.5,0.95,0.95,1.4108326790592796,41
213,0.5,0.95,0.95,-0.09196681004177876,13
214,0.5,0.95,0.95,-1.5925889671117943,18
215,0.5,0.95,0.95,1.159547620045879,31
216,0.5,0.95,0.95,-0.7842047527180198,11
217,0.5,0.95,0.95,19.61621070736276,105
218,0.5,0.95,0.95,-32.692622449990154,41
219,0.5,0.95,0.95,-0.7024557526192134,9
220,0.5,0.95,0.95,-1.8541519859598181,13
221,0.5,0.95,0.95,-9.146818979956295,48
222,0.5,0.95,0.95,5.286076075353606,22
223,0.5,0.95,0.95,-2.2610259412308893,15
224,0.5,0.95,0.95,27.974008365290786,43
225,0.5,0.95,0.95,-28.60365099380828,86
226,0.5,0.95,0.95,-20.0,20
227,0.5,0.95,0.95,-10.056577571132658,37
228,0.5,0.95,0.95,-22.271904330686574,46
229,0.5,0.95,0.95,-3.8351230516721526,62
230,0.5,0.95,0.95,-1.0,1
231,0.5,0.95,0.95,-2.842833579767289,24
232,0.5,0.95,0.95,4.98540288057894,28
233,0.5,0.95,0.95,16.821020341321713,25
234,0.5,0.95,0.95,1.0789317313719122,34
235,0.5,0.95,0.95,1.6611409203892564,27
236,0.5,0.95,0.95,4.085647630312975,22
237,0.5,0.95,0.95,-2.4372449359264694,16
238,0.5,0.95,0.95,-0.5798638110876337,24
239,0.5,0.95,0.95,11.009207206835214,57
240,0.5,0.95,0.95,-0.7418963856332264,20
241,0.5,0.95,0.95,0.5042299286829719,20
242,0.5,0.95,0.95,1.718813047024316,34
243,0.5,0.95,0.95,23.77509841154344,54
244,0.5,0.95,0.95,-2.376967656993274,12
245,0.5,0.95,0.95,-3.479871905340051,23
246,0.5,0.95,0.95,15.721205423261338,48
247,0.5,0.95,0.95,-1.0261946915240734,21
248,0.5,0.95,0.95,-1.86728803608422,21
249,0.5,0.95,0.95,0.8003174746745827,25
250,0.5,0.95,0.95,9.005899569474433,44
251,0.5,0.95,0.95,2.5933700872551424,25
252,0.5,0.95,0.95,1.3523428185208615,43
253,0.5,0.95,0.95,22.5175587436329,62
254,0.5,0.95,0.95,-0.3604115848869601,19
255,0.5,0.95,0.95,7.252911517815447,22
256,0.5,0.95,0.95,-0.13174933793365995,36
257,0.5,0.95,0.95,-12.71769243987714,18
258,0.5,0.95,0.95,-3.165428040668986,27
259,0.5,0.95,0.95,1.5407739329083978,34
260,0.5,0.95,0.95,-0.6341518666091212,15
261,0.5,0.95,0.95,4.37791904822426,16
262,0.5,0.95,0.95,-8.84004042107938,41
263,0.5,0.95,0.95,7.5575723497592655,32
264,0.5,0.95,0.95,-1.3035567648602924,19
265,0.5,0.95,0.95,12.533958660911422,25
266,0.5,0.95,0.95,-8.87991539576384,16
267,0.5,0.95,0.95,-24.34371178388598,72
268,0.5,0.95,0.95,-1.1087881595201443,35
269,0.5,0.95,0.95,-0.08408553274677943,27
270,0.5,0.95,0.95,-0.12584708923800603,16
271,0.5,0.95,0.95,0.029536230090285942,19
272,0.5,0.95,0.95,-0.27975841718079864,14
273,0.5,0.95,0.95,15.427453015531505,31
274,0.5,0.95,0.95,-3.021607795955193,24
275,0.5,0.95,0.95,-11.132635765885414,38
276,0.5,0.95,0.95,7.223453677874556,39
277,0.5,0.95,0.95,9.233647325665643,58
278,0.5,0.95,0.95,-0.5777574719360103,31
279,0.5,0.95,0.95,2.3084535964371904,54
280,0.5,0.95,0.95,2.7052701885943597,13
281,0.5,0.95,0.95,-3.069263095782611,48
282,0.5,0.95,0.95,-7.885331211083529,16
283,0.5,0.95,0.95,-3.2147568906189257,38
284,0.5,0.95,0.95,-19.17406517601108,100
285,0.5,0.95,0.95,20.194346214428226,43
286,0.5,0.95,0.95,10.229971861051348,26
287,0.5,0.95,0.95,-2.4753299218088953,28
288,0.5,0.95,0.95,-0.503070440200263,13
289,0.5,0.95,0.95,2.9149263741113267,44
290,0.5,0.95,0.95,-11.665056326930607,19
291,0.5,0.95,0.95,14.806492253185004,27
292,0.5,0.95,0.95,5.558468683792608,40
293,0.5,0.95,0.95,0.12784872137020264,21
294,0.5,0.95,0.95,-1.7310248142204294,12
295,0.5,0.95,0.95,21.03330546550592,34
296,0.5,0.95,0.95,11.0,15
297,0.5,0.95,0.95,0.49193993424092763,17
298,0.5,0.95,0.95,32.68480792045069,93
299,0.5,0.95,0.95,-5.697303074052547,42
300,0.5,0.95,0.95,-1.5140340639757504,61
301,0.5,0.95,0.95,-11.40816236439584,28
302,0.5,0.95,0.95,14.0,32
303,0.5,0.95,0.95,6.156116951872848,16
304,0.5,0.95,0.95,6.550506887691773,35
305,0.5,0.95,0.95,-0.6782530363794531,10
306,0.5,0.95,0.95,-1.8467275684972724,13
307,0.5,0.95,0.95,1.3823885308590071,27
308,0.5,0.95,0.95,-44.53170040464486,61
309,0.5,0.95,0.95,7.2003407817720415,44
310,0.5,0.95,0.95,-1.5848999437792215,30
311,0.5,0.95,0.95,-0.7301093666386599,18
312,0.5,0.95,0.95,-1.236808565227567,19
313,0.5,0.95,0.95,-6.261468621198045,28
314,0.5,0.95,0.95,-0.40646728660748854,14
315,0.5,0.95,0.95,-0.8667423637400251,20
316,0.5,0.95,0.95,-0.7127380951724772,19
317,0.5,0.95,0.95,-0.26429322281489653,33
318,0.5,0.95,0.95,2.379681560188765,34
319,0.5,0.95,0.95,-2.3251352124809355,17
320,0.5,0.95,0.95,-0.023075339794827676,126
321,0.5,0.95,0.95,0.14988605619007633,45
322,0.5,0.95,0.95,19.039916642307936,34
323,0.5,0.95,0.95,5.28199556921867,18
324,0.5,0.95,0.95,5.617420729975916,21
325,0.5,0.95,0.95,24.338421537715707,39
326,0.5,0.95,0.95,-0.19103490556353786,19
327,0.5,0.95,0.95,10.0,12
328,0.5,0.95,0.95,-0.20654156614385322,43
329,0.5,0.95,0.95,31.98762677964612,69
330,0.5,0.95,0.95,1.0286964615430603,41
331,0.5,0.95,0.95,6.457221736665425,55
332,0.5,0.95,0.95,-0.5565968395174503,17
333,0.5,0.95,0.95,8.737283289873043,73
334,0.5,0.95,0.95,-9.815283328748865,29
335,0.5,0.95,0.95,-0.08600307611889246,26
336,0.5,0.95,0.95,0.9663522080747304,15
337,0.5,0.95,0.95,2.23497400515007,18
338,0.5,0.95,0.95,3.344028498196156,56
339,0.5,0.95,0.95,-2.308309714556928,17
340,0.5,0.95,0.95,1.2316068124932529,35
341,0.5,0.95,0.95,0.3349423787802641,21
342,0.5,0.95,0.95,0.6088717196301241,30
343,0.5,0.95,0.95,-1.9586816760171426,11
344,0.5,0.95,0.95,-0.024609322827401026,58
345,0.5,0.95,0.95,4.337676132357594,36
346,0.5,0.95,0.95,-0.8954067713882334,23
347,0.5,0.95,0.95,0.6314520262415175,20
348,0.5,0.95,0.95,0.6059494410541024,15
349,0.5,0.95,0.95,0.46188287936858896,16
350,0.5,0.95,0.95,-1.6772367509011523,35
351,0.5,0.95,0.95,3.191409594690909,25
352,0.5,0.95,0.95,12.418526985188732,46
353,0.5,0.95,0.95,-12.0,12
354,0.5,0.95,0.95,-0.3311180634093849,71
355,0.5,0.95,0.95,-0.7678499063218767,8
356,0.5,0.95,0.95,27.89877223215839,53
357,0.5,0.95,0.95,3.7743343645456875,34
358,0.5,0.95,0.95,5.2415254105464975,18
359,0.5,0.95,0.95,5.0,7
360,0.5,0.95,0.95,20.0,24
361,0.5,0.95,0.95,-15.831700507005747,44
362,0.5,0.95,0.95,8.806163084591251,17
363,0.5,0.95,0.95,-15.08588443636753,27
364,0.5,0.95,0.95,-1.662285649854446,10
365,0.5,0.95,0.95,-0.09592359099962178,12
366,0.5,0.95,0.95,0.5387961627378932,52
367,0.5,0.95,0.95,-0.17228898165145312,14
368,0.5,0.95,0.95,0.7385301684766734,31
369,0.5,0.95,0.95,8.365521289581725,18
370,0.5,0.95,0.95,17.439976714576044,84
371,0.5,0.95,0.95,-28.337090075302704,52
372,0.5,0.95,0.95,-0.9187185185632646,13
373,0.5,0.95,0.95,-0.5027512279868629,14
374,0.5,0.95,0.95,-3.801649398619351,29
375,0.5,0.95,0.95,-2.932800382557547,31
376,0.5,0.95,0.95,-0.3413508819643214,17
377,0.5,0.95,0.95,3.988631061409901,26
378,0.5,0.95,0.95,-15.613489502356199,48
379,0.5,0.95,0.95,-0.8346109580188044,20
380,0.5,0.95,0.95,-0.782375787898137,13
381,0.5,0.95,0.95,-3.0308631195030835,16
382,0.5,0.95,0.95,-0.5330446948082683,12
383,0.5,0.95,0.95,-0.5090974719128005,15
384,0.5,0.95,0.95,4.422047845517606,49
385,0.5,0.95,0.95,-4.327726556317439,38
386,0.5,0.95,0.95,-3.3497538209986,39
387,0.5,0.95,0.95,-4.909310060402177,19
388,0.5,0.95,0.95,-2.4936360018931962,11
389,0.5,0.95,0.95,-3.547882026604413,33
390,0.5,0.95,0.95,-1.7350649993262466,14
391,0.5,0.95,0.95,0.07381871871235779,21
