num episodio,learning constant,discount factor,exploration factor,acumulated reward,iterations
0,0.5,0.95,0.95,23.236806818551514,44
1,0.5,0.95,0.95,13.33410178355174,27
2,0.5,0.95,0.95,10.003906566993962,20
3,0.5,0.95,0.95,27.516697429748437,58
4,0.5,0.95,0.95,0.0,1
5,0.5,0.95,0.95,5.866589829371791,12
6,0.5,0.95,0.95,4.32299848550219,10
7,0.5,0.95,0.95,5.600600883909042,12
8,0.5,0.95,0.95,13.918275980570499,28
9,0.5,0.95,0.95,19.641308571323684,40
10,0.5,0.95,0.95,10.200379032487662,39
11,0.5,0.95,0.95,17.48888070521936,35
12,0.5,0.95,0.95,16.631090259201425,34
13,0.5,0.95,0.95,4.8479997862597966,11
14,0.5,0.95,0.95,6.71304753819822,15
15,0.5,0.95,0.95,13.215062784968167,32
16,0.5,0.95,0.95,13.59770780971191,28
17,0.5,0.95,0.95,6.392503204757805,14
18,0.5,0.95,0.95,18.38865708023382,39
19,0.5,0.95,0.95,5.029059890172287,12
20,0.5,0.95,0.95,14.13028202530021,29
21,0.5,0.95,0.95,5.061494051477561,11
22,0.5,0.95,0.95,11.663314382449972,20
23,0.5,0.95,0.95,15.0,25
24,0.5,0.95,0.95,34.30894859358582,52
25,0.5,0.95,0.95,33.33099659593988,61
26,0.5,0.95,0.95,75.66095533805081,107
27,0.5,0.95,0.95,11.08369156102419,23
28,0.5,0.95,0.95,10.563463279457613,21
29,0.5,0.95,0.95,16.200513695319394,32
30,0.5,0.95,0.95,6.509950633194234,27
31,0.5,0.95,0.95,6.865592993923799,15
32,0.5,0.95,0.95,22.231182727366658,46
33,0.5,0.95,0.95,38.078810130134414,57
34,0.5,0.95,0.95,13.706257857406943,24
35,0.5,0.95,0.95,27.338708190600332,54
36,0.5,0.95,0.95,18.213679667558583,39
37,0.5,0.95,0.95,11.586220455510832,19
38,0.5,0.95,0.95,13.586276967236541,25
39,0.5,0.95,0.95,12.0,14
40,0.5,0.95,0.95,7.738611501220467,15
41,0.5,0.95,0.95,4.56231604812643,7
42,0.5,0.95,0.95,44.91036658129152,72
43,0.5,0.95,0.95,9.4015488571986,17
44,0.5,0.95,0.95,11.139711598512719,15
45,0.5,0.95,0.95,5.222435276164695,13
46,0.5,0.95,0.95,6.068795336043881,21
47,0.5,0.95,0.95,39.52298475851724,62
48,0.5,0.95,0.95,16.964106960571552,34
49,0.5,0.95,0.95,7.146000573299186,15
50,0.5,0.95,0.95,17.13861390400645,34
51,0.5,0.95,0.95,5.293911385670848,12
52,0.5,0.95,0.95,64.0560582671954,84
53,0.5,0.95,0.95,27.59850831891501,37
54,0.5,0.95,0.95,16.444344988885618,36
55,0.5,0.95,0.95,5.555009913175652,12
56,0.5,0.95,0.95,4.047187296633564,9
57,0.5,0.95,0.95,8.197587882921235,18
58,0.5,0.95,0.95,6.157862673559927,13
59,0.5,0.95,0.95,7.069461487074276,15
60,0.5,0.95,0.95,5.049661392784561,11
61,0.5,0.95,0.95,17.41806730261126,27
62,0.5,0.95,0.95,15.623936170062231,24
63,0.5,0.95,0.95,12.158122401809045,23
64,0.5,0.95,0.95,6.065994556778566,13
65,0.5,0.95,0.95,5.5959878732859085,12
66,0.5,0.95,0.95,12.821846262403891,26
67,0.5,0.95,0.95,8.101512367913628,17
68,0.5,0.95,0.95,15.853333908121241,26
69,0.5,0.95,0.95,4.679000686945386,10
70,0.5,0.95,0.95,17.687225046247463,36
71,0.5,0.95,0.95,5.596776708731938,12
72,0.5,0.95,0.95,7.631493729628503,20
73,0.5,0.95,0.95,8.018041281733392,14
74,0.5,0.95,0.95,68.45280538325159,99
75,0.5,0.95,0.95,31.761144807281692,51
76,0.5,0.95,0.95,22.45489432327227,43
77,0.5,0.95,0.95,49.44984949176306,65
78,0.5,0.95,0.95,21.501340671567515,43
79,0.5,0.95,0.95,15.189313804888364,31
80,0.5,0.95,0.95,6.463349771545907,17
81,0.5,0.95,0.95,23.214013988439444,45
82,0.5,0.95,0.95,12.407098740115591,24
83,0.5,0.95,0.95,9.45368951452713,20
84,0.5,0.95,0.95,13.345396845810358,23
85,0.5,0.95,0.95,7.211060176566178,16
86,0.5,0.95,0.95,4.316520922445534,10
87,0.5,0.95,0.95,42.60921151802471,88
88,0.5,0.95,0.95,5.725701468401362,12
89,0.5,0.95,0.95,43.784071054548065,82
90,0.5,0.95,0.95,6.936295436472618,25
91,0.5,0.95,0.95,5.58461610098394,12
92,0.5,0.95,0.95,18.289155209367742,35
93,0.5,0.95,0.95,6.361749050945414,14
94,0.5,0.95,0.95,10.549389150094116,23
95,0.5,0.95,0.95,10.684461234438883,23
96,0.5,0.95,0.95,7.2907947416728325,15
