num episodio,learning constant,discount factor,exploration factor,acumulated reward
0,0.5,0.95,0.95,-17.625435405747847
1,0.5,0.95,0.95,-22.001838306369624
2,0.5,0.95,0.95,-17.827590088031673
3,0.5,0.95,0.95,-18.32493862984872
4,0.5,0.95,0.95,-19.45875213135873
5,0.5,0.95,0.95,-14.94387420116619
6,0.5,0.95,0.95,-20.582240611824968
7,0.5,0.95,0.95,-18.832891141561802
8,0.5,0.95,0.95,-23.005914920052295
9,0.5,0.95,0.95,-11.364318069122495
10,0.5,0.95,0.95,-19.82282466885903
11,0.5,0.95,0.95,-19.27797783918943
12,0.5,0.95,0.95,-21.09626700794653
13,0.5,0.95,0.95,-16.261619519800917
14,0.5,0.95,0.95,-19.460518976649603
15,0.5,0.95,0.95,-21.048257678428605
16,0.5,0.95,0.95,-18.022635544584087
17,0.5,0.95,0.95,-21.115707737802815
18,0.5,0.95,0.95,-19.04781179604289
19,0.5,0.95,0.95,-20.254708482419566
20,0.5,0.95,0.95,-19.543292282698925
21,0.5,0.95,0.95,-17.928701610631133
22,0.5,0.95,0.95,-19.605762737038134
23,0.5,0.95,0.95,-18.664285841049615
24,0.5,0.95,0.95,-19.22508432203465
25,0.5,0.95,0.95,-19.183450349816248
26,0.5,0.95,0.95,-18.52052126305458
27,0.5,0.95,0.95,-19.16299368838355
28,0.5,0.95,0.95,-18.590713130778916
29,0.5,0.95,0.95,-18.79606757808173
30,0.5,0.95,0.95,-23.435744394820098
31,0.5,0.95,0.95,-20.901278781622494
32,0.5,0.95,0.95,-19.640936503954535
33,0.5,0.95,0.95,-19.78759448731445
34,0.5,0.95,0.95,-16.275189420352007
35,0.5,0.95,0.95,-15.528354031470734
36,0.5,0.95,0.95,-19.993697606017374
37,0.5,0.95,0.95,-17.954129298038303
38,0.5,0.95,0.95,-24.493143455937147
39,0.5,0.95,0.95,-19.47542709943059
40,0.5,0.95,0.95,-19.29756546263749
41,0.5,0.95,0.95,-18.028084001499934
42,0.5,0.95,0.95,-18.642601955225896
43,0.5,0.95,0.95,-23.520969106220047
44,0.5,0.95,0.95,-17.73087347669681
45,0.5,0.95,0.95,-18.765826159556287
46,0.5,0.95,0.95,-19.16442627334378
47,0.5,0.95,0.95,-16.32861908804895
48,0.5,0.95,0.95,-15.687188011259265
49,0.5,0.95,0.95,-20.262597840395514
50,0.5,0.95,0.95,-18.43452298870418
51,0.5,0.95,0.95,-16.346132766067576
52,0.5,0.95,0.95,-19.1477306986585
53,0.5,0.95,0.95,-21.53025705896869
54,0.5,0.95,0.95,-14.960385453388085
55,0.5,0.95,0.95,-17.60759886271077
56,0.5,0.95,0.95,-13.19865443488095
57,0.5,0.95,0.95,-19.153083613031573
58,0.5,0.95,0.95,-19.42350260782042
59,0.5,0.95,0.95,-15.795112273206481
60,0.5,0.95,0.95,-19.384991897786108
61,0.5,0.95,0.95,-19.35218062346712
62,0.5,0.95,0.95,-16.25445630551607
63,0.5,0.95,0.95,-22.076229683923973
64,0.5,0.95,0.95,-19.96102601675716
