num episodio,learning constant,discount factor,exploration factor,acumulated reward
418,0.5,0.95,0.75,-18.555609343237098
419,0.5,0.95,0.75,-18.714088766809546
420,0.5,0.95,0.75,-18.613057489557782
421,0.5,0.95,0.75,-22.14767597364467
422,0.5,0.95,0.75,-19.09747813274808
423,0.5,0.95,0.75,-19.54817013485234
424,0.5,0.95,0.75,-21.756840456810018
425,0.5,0.95,0.75,-22.165243120085137
426,0.5,0.95,0.75,-21.12568687773339
427,0.5,0.95,0.75,-12.926607095992196
428,0.5,0.95,0.75,-19.019141851198086
429,0.5,0.95,0.75,-18.819982039521026
430,0.5,0.95,0.75,-18.608091585388518
431,0.5,0.95,0.75,-17.70512837712298
432,0.5,0.95,0.75,-21.986243560942427
433,0.5,0.95,0.75,-21.56320092185599
434,0.5,0.95,0.75,-21.177162417586654
435,0.5,0.95,0.75,-20.687491635707193
436,0.5,0.95,0.75,-21.51530227859286
437,0.5,0.95,0.75,-20.886865569694923
438,0.5,0.95,0.75,-18.693886721268868
439,0.5,0.95,0.75,-21.294574167249408
440,0.5,0.95,0.75,-14.875634859599053
441,0.5,0.95,0.75,-17.013716472143248
442,0.5,0.95,0.75,-21.098792602184655
443,0.5,0.95,0.75,-21.17847494907311
444,0.5,0.95,0.75,-17.080444195008056
445,0.5,0.95,0.75,-21.126607789597855
446,0.5,0.95,0.75,-21.05466692016015
447,0.5,0.95,0.75,-21.86939109516596
448,0.5,0.95,0.75,-21.087586562237448
449,0.5,0.95,0.75,-18.960264525364153
450,0.5,0.95,0.75,-19.39347074961822
451,0.5,0.95,0.75,-19.14371973089317
452,0.5,0.95,0.75,-24.41473538346765
453,0.5,0.95,0.75,-19.518441069640026
454,0.5,0.95,0.75,-18.236784939773962
455,0.5,0.95,0.75,-20.448474998762233
456,0.5,0.95,0.75,-19.797856467846824
457,0.5,0.95,0.75,-18.335642876897968
458,0.5,0.95,0.75,-19.627028555127428
459,0.5,0.95,0.75,-19.223888428523626
460,0.5,0.95,0.75,-19.237821801303273
461,0.5,0.95,0.75,-24.186356867808925
462,0.5,0.95,0.75,-19.004022590948434
463,0.5,0.95,0.75,-15.38247223653472
464,0.5,0.95,0.75,-15.09534329978305
465,0.5,0.95,0.75,-19.698154116438996
466,0.5,0.95,0.75,-18.428400418822793
467,0.5,0.95,0.75,-12.476514006976895
468,0.5,0.95,0.75,-19.608880396248775
469,0.5,0.95,0.75,-19.627701004853833
470,0.5,0.95,0.75,-18.8875445553375
471,0.5,0.95,0.75,-15.29623945375821
472,0.5,0.95,0.75,-19.35641784967121
473,0.5,0.95,0.75,-19.351498734698918
474,0.5,0.95,0.75,-19.396428319062814
475,0.5,0.95,0.75,-19.260357504959853
476,0.5,0.95,0.75,-19.416617261822772
477,0.5,0.95,0.75,-19.5072808244653
478,0.5,0.95,0.75,-19.4527429247185
479,0.5,0.95,0.75,-22.830257757071582
480,0.5,0.95,0.75,-19.497630604125376
481,0.5,0.95,0.75,-18.83656980046343
482,0.5,0.95,0.75,-21.726598866422112
483,0.5,0.95,0.75,-16.665873914401722
484,0.5,0.95,0.75,-18.051040999612287
485,0.5,0.95,0.75,-16.35667045651469
486,0.5,0.95,0.75,-19.283809795039396
487,0.5,0.95,0.75,-15.726521701092102
488,0.5,0.95,0.75,-20.412324194473985
489,0.5,0.95,0.75,-21.752065139290696
490,0.5,0.95,0.75,-21.194769111142744
491,0.5,0.95,0.75,-16.59284721510943
492,0.5,0.95,0.75,-19.620048907284406
493,0.5,0.95,0.75,-23.145749457107858
494,0.5,0.95,0.75,-19.512780770755786
495,0.5,0.95,0.75,-18.967597876767314
496,0.5,0.95,0.75,-19.568691863097037
497,0.5,0.95,0.75,-19.41317857689976
498,0.5,0.95,0.75,-18.908834995255386
499,0.5,0.95,0.75,-21.6947131708004
500,0.5,0.95,0.75,-21.160355666572315
501,0.5,0.95,0.75,-23.378141490273098
502,0.5,0.95,0.75,-19.456564605717084
503,0.5,0.95,0.75,-18.95296290448739
504,0.5,0.95,0.75,-22.36250429190434
505,0.5,0.95,0.75,-16.902066249199166
506,0.5,0.95,0.75,-15.98886854411841
507,0.5,0.95,0.75,-18.062855208204304
508,0.5,0.95,0.75,-22.652963809972654
509,0.5,0.95,0.75,-23.319657186795013
510,0.5,0.95,0.75,-17.73348692065108
511,0.5,0.95,0.75,-21.378197337102996
512,0.5,0.95,0.75,-19.05396573249665
513,0.5,0.95,0.75,-19.180370842881434
514,0.5,0.95,0.75,-24.671625087140686
515,0.5,0.95,0.75,-18.470297318266418
516,0.5,0.95,0.75,-14.827812357614542
517,0.5,0.95,0.75,-19.906305547732227
518,0.5,0.95,0.75,-17.469595664559442
519,0.5,0.95,0.75,-19.906134051405274
520,0.5,0.95,0.75,-19.431069162577124
521,0.5,0.95,0.75,-17.104543641809876
522,0.5,0.95,0.75,-20.103930098736615
523,0.5,0.95,0.75,-18.5841839758282
524,0.5,0.95,0.75,-19.20109455014645
525,0.5,0.95,0.75,-19.594273409078934
526,0.5,0.95,0.75,-13.010051410970867
527,0.5,0.95,0.75,-18.64406888158844
528,0.5,0.95,0.75,-19.20430418078271
529,0.5,0.95,0.75,-18.990138857800144
530,0.5,0.95,0.75,-20.107834856856705
531,0.5,0.95,0.75,-22.58679265487773
532,0.5,0.95,0.75,-21.376735486142508
533,0.5,0.95,0.75,-16.453786222826686
534,0.5,0.95,0.75,-19.70089377747706
535,0.5,0.95,0.75,-19.511811229209723
536,0.5,0.95,0.75,-18.612182676669565
537,0.5,0.95,0.75,-20.99752946632376
538,0.5,0.95,0.75,-16.430817874217432
539,0.5,0.95,0.75,-23.287601596250813
540,0.5,0.95,0.75,-22.88168797073924
541,0.5,0.95,0.75,-15.283515875218258
542,0.5,0.95,0.75,-18.329266341523798
543,0.5,0.95,0.75,-19.24083467507103
544,0.5,0.95,0.75,-18.837974383605133
545,0.5,0.95,0.75,-19.76757860785468
546,0.5,0.95,0.75,-19.001218855375207
547,0.5,0.95,0.75,-19.544337695593285
548,0.5,0.95,0.75,-22.93252048472861
549,0.5,0.95,0.75,-18.675925478218307
550,0.5,0.95,0.75,-17.770528278140173
551,0.5,0.95,0.75,-18.633743197164783
552,0.5,0.95,0.75,-16.84884103227565
553,0.5,0.95,0.75,-24.020992726722046
554,0.5,0.95,0.75,-23.718970091501575
555,0.5,0.95,0.75,-18.401441802399113
556,0.5,0.95,0.75,-18.33445138639091
557,0.5,0.95,0.75,-21.036570279224755
558,0.5,0.95,0.75,-17.28744800758862
559,0.5,0.95,0.75,-17.326522261844744
560,0.5,0.95,0.75,-17.787221617077382
561,0.5,0.95,0.75,-19.845714920103834
562,0.5,0.95,0.75,-18.317037944303646
563,0.5,0.95,0.75,-12.052018548367968
564,0.5,0.95,0.75,-17.469865697439243
565,0.5,0.95,0.75,-18.890660942937515
566,0.5,0.95,0.75,-18.248086170120295
567,0.5,0.95,0.75,-17.18305653925159
568,0.5,0.95,0.75,-19.793454848883744
569,0.5,0.95,0.75,-22.85519084904854
570,0.5,0.95,0.75,-22.05605462362055
571,0.5,0.95,0.75,-18.59249420908911
572,0.5,0.95,0.75,-19.24638440646371
573,0.5,0.95,0.75,-21.18613566121561
574,0.5,0.95,0.75,-18.984010052395067
575,0.5,0.95,0.75,-20.244237297839142
576,0.5,0.95,0.75,-17.373568817052316
577,0.5,0.95,0.75,-20.974528394603148
578,0.5,0.95,0.75,-19.580780008332148
579,0.5,0.95,0.75,-27.595157039254016
580,0.5,0.95,0.75,-23.82433961790978
581,0.5,0.95,0.75,-21.2444505788006
582,0.5,0.95,0.75,-21.005103870935695
583,0.5,0.95,0.75,-17.1810938756266
584,0.5,0.95,0.75,-18.966492228656474
585,0.5,0.95,0.75,-19.00682514993263
586,0.5,0.95,0.75,-15.26794723046961
587,0.5,0.95,0.75,-18.89265888472223
588,0.5,0.95,0.75,-20.696819242187026
589,0.5,0.95,0.75,-19.219677515355322
590,0.5,0.95,0.75,-17.24224578925719
591,0.5,0.95,0.75,-16.084677286124567
592,0.5,0.95,0.75,-18.181431324845043
593,0.5,0.95,0.75,-18.64113845444236
594,0.5,0.95,0.75,-23.804012966563963
595,0.5,0.95,0.75,-20.87159127640787
596,0.5,0.95,0.75,-19.52036077900849
597,0.5,0.95,0.75,-16.98434942585033
598,0.5,0.95,0.75,-19.70495322738048
599,0.5,0.95,0.75,0.05784494938780874
600,0.5,0.95,0.75,-21.872402669528295
601,0.5,0.95,0.75,-19.64599056435401
602,0.5,0.95,0.75,-19.402025388584097
