fps,cpu usage,Memory usage,PID adjustment num,PID adjustment intesity
0,0.0,199208960,0,0.0
0,0.0,199208960,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,10.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,10.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,10.0,199483392,0,0.0
0,0.0,199483392,0,0.0
0,49.9,207441920,0,0.0
0,0.0,234409984,0,0.0
0,0.0,228925440,0,-0.011700130000000001
4,89.8,226885632,1,0.088501
4,0.0,226881536,1,0.0052518400000000015
4,0.0,226881536,1,0.021002680000000003
4,99.8,226885632,1,-0.0064969199999999954
4,0.0,226893824,1,-9.835000000000026e-05
3,10.0,226893824,1,0.00440176
3,0.0,228765696,1,0.01160195
3,10.0,228634624,1,0.010754300000000003
3,0.0,235253760,1,0.010004700000000002
3,10.0,228573184,1,0.010005100000000001
3,69.8,226942976,1,-0.0018973600000000016
3,10.0,227213312,1,0.0036027299999999997
3,0.0,227213312,1,-0.002173607818181783
3,99.8,230866944,1,0.026819607999999974
3,0.0,230866944,1,-0.0006968941818181836
3,0.0,230866944,1,0.004803225818181818
3,0.0,233025536,1,0.023506971636363637
3,30.0,232882176,1,0.02800773163636364
3,0.0,251936768,1,0.019008491636363638
3,0.0,232992768,1,0.02775939163636364
3,89.8,232833024,1,0.026260351636363637
3,0.0,230793216,1,0.025261331636363637
3,0.0,230793216,1,0.024512311636363637
3,29.9,233766912,1,0.03290925930303034
3,0.0,232689664,1,0.043896939541125585
3,0.0,232689664,1,0.034284024541125564
3,0.0,232689664,1,0.03986584168398264
3,20.0,232808448,1,0.0252689073982684
3,0.0,245641216,1,0.032020187398268396
3,0.0,232931328,1,0.027021387398268395
3,99.8,232779776,1,0.025022507398268407
3,0.0,230735872,1,0.0380237873982684
3,0.0,230735872,1,0.0320250673982684
3,10.0,232628224,1,0.0445265473982684
3,89.8,230592512,1,0.04077808739826841
3,10.0,230592512,1,0.0472797673982684
3,0.0,230592512,1,0.042031447398268404
3,0.0,230592512,1,0.034658908693232404
3,10.0,232484864,1,0.045765590360440686
3,10.0,232484864,1,0.041758927864269824
3,0.0,234328064,1,0.03657170919254295
3,89.8,232419328,1,0.03681888486616736
3,10.0,232419328,1,0.03851515061870281
3,0.0,232419328,1,0.038532207446289025
3,0.0,232419328,1,0.03832063510348977
3,0.0,234311680,1,0.02936900874446346
3,0.0,234311680,1,0.034818929038581095
3,10.0,234311680,1,0.016918663418606584
3,89.8,234168320,1,0.008437843418010394
3,10.0,234168320,1,-0.001198209421827788
3,0.0,234168320,1,0.011504233395073614
3,10.0,232546304,1,0.00036353299847728893
3,0.0,223883264,1,-0.0032267124665175673
3,0.0,223883264,1,0.0014917150047468305
3,0.0,228401152,2,-0.0050010211996327275
3,109.8,227590144,2,0.0008483249313648311
3,10.0,228941824,2,-0.0007681132927026422
3,0.0,228941824,2,-0.0005621830174732982
3,0.0,228401152,2,-0.0015848581417087265
3,20.0,231784448,2,-0.004376647593829231
3,0.0,245088256,2,-0.00251011960186132
3,10.0,232058880,2,0.00174802424990942
3,39.9,232869888,3,0.002519853199599088
3,0.0,233148416,3,0.001784852896568782
3,0.0,233148416,3,0.00122488289656878
3,0.0,232067072,3,0.0030249328965687803
3,109.8,231256064,3,0.02157804801535972
3,0.0,231256064,3,0.056134743570915364
3,0.0,231256064,3,0.028552550237582002
3,0.0,232607744,3,0.018553530237582008
3,59.8,232067072,3,0.017054390237582005
3,0.0,229097472,3,0.021555250237582008
3,0.0,233148416,3,0.014055990237582004
3,69.8,232067072,3,0.009806590237582003
3,0.0,232607744,3,0.010057110237582007
3,0.0,232607744,3,0.013057630237582005
3,0.0,232882176,3,0.011808130237582004
3,109.8,233422848,3,0.0037292451187910017
3,0.0,235319296,3,0.0027293751187910035
3,10.0,235319296,3,0.005229505118791003
3,0.0,232075264,3,-0.0010704348812089984
3,69.8,233426944,4,-0.006570474881208999
3,0.0,229642240,4,-0.0015705148812089978
3,0.0,230723584,4,-0.006970614881208999
3,49.9,232615936,4,-0.019941669762417995
3,0.0,232075264,4,-0.014692169762417997
3,0.0,232075264,4,-0.012442669762417997
3,0.0,232615936,4,-0.019943289762417996
3,49.9,232615936,4,-0.020443989762417993
3,0.0,229101568,4,-0.017444689762417993
3,0.0,230719488,4,-0.021195449762418002
3,10.0,231260160,4,-0.020196229762418
