time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
5.192494630813599,0,0.0,193146880,1,0.0360004
5.324342489242554,0,30.3,199729152,0.0,0.0
5.410113334655762,0,46.6,204709888,0.0,0.0
5.4885969161987305,0,51.0,205242368,0.0,0.0
5.57454514503479,0,46.5,205242368,0.0,0.0
5.651302337646484,0,65.1,205242368,-1,0.06099974
5.73970365524292,0,45.3,205242368,-1,0.024000340000000002
5.8215625286102295,0,36.6,205242368,-1,0.024000940000000002
5.894782066345215,0,41.0,205242368,1,0.06779948
5.977628231048584,0,72.4,205242368,0.0,0.0
6.056797742843628,0,50.5,205242368,0.0,0.0
6.145567178726196,0,56.3,205242368,0.0,0.0
6.22194504737854,13,52.4,205242368,0.0,0.0
6.3033366203308105,13,49.1,205242368,0.0,0.0
6.381704092025757,13,51.0,205242368,0.0,0.0
6.461357593536377,13,50.2,205242368,0.0,0.0
6.543253421783447,13,48.8,205242368,0.0,0.0
6.622828960418701,13,37.7,205242368,0.0,0.0
6.702472925186157,13,50.2,205242368,0.0,0.0
6.785990953445435,13,47.9,205242368,0.0,0.0
6.865313768386841,13,63.0,205242368,0.0,0.0
6.9510602951049805,13,46.7,205242368,0.0,0.0
7.022286415100098,13,56.2,205242368,0.0,0.0
7.107386350631714,13,58.8,205242368,0.0,0.0
7.186859130859375,13,50.3,205242368,0.0,0.0
7.265592098236084,13,50.8,205242368,0.0,0.0
7.365423679351807,14,70.1,205242368,0.0,0.0
7.444003343582153,14,38.2,205242368,0.0,0.0
7.5236756801605225,14,50.2,205242368,0.0,0.0
7.6189703941345215,14,42.0,205242368,0.0,0.0
7.711335182189941,14,43.3,205242368,0.0,0.0
7.803866863250732,14,32.4,205242368,0.0,0.0
7.896820783615112,14,43.0,205242368,0.0,0.0
7.988094806671143,14,43.8,205242368,0.0,0.0
8.068315505981445,14,49.9,205242368,0.0,0.0
8.148230075836182,14,37.5,205242368,0.0,0.0
8.227022647857666,14,50.8,205242368,0.0,0.0
8.307349681854248,14,37.3,205242368,0.0,0.0
8.393574953079224,14,69.6,205242368,0.0,0.0
8.475344896316528,13,36.7,198975488,0.0,0.0
8.559189319610596,13,71.6,198975488,0.0,0.0
8.641695499420166,13,48.5,198975488,0.0,0.0
8.721318483352661,13,50.2,198975488,0.0,0.0
8.815297365188599,13,31.9,198975488,0.0,0.0
8.90921401977539,13,53.2,198975488,1,0.01080112
8.996253967285156,13,68.9,198975488,1,0.008801340000000001
9.081243515014648,13,58.8,198975488,1,0.00880156
9.174654722213745,13,53.5,198975488,0.0,0.0
9.253154516220093,13,38.2,198975488,1,0.013601959999999998
9.33238673210144,13,50.5,198975488,1,0.0078021800000000014
9.414669036865234,13,36.5,198975488,1,0.01240244
9.498132228851318,13,71.9,198975488,1,0.0104027
9.577508687973022,13,37.8,198975488,1,0.010402960000000001
9.661183834075928,13,47.8,198975488,1,0.010403220000000001
9.74497675895691,13,35.8,198975488,1,0.008603459999999999
9.82440710067749,13,37.8,198975488,1,0.007803680000000001
9.904963970184326,13,49.6,198975488,0.0,0.0
9.986170530319214,13,49.3,198975488,1,0.011804060000000002
10.068753242492676,13,36.3,198975488,1,0.012404320000000002
10.152137994766235,13,47.9,198975488,1,0.010404580000000002
10.23377251625061,13,49.0,198975488,1,0.010404840000000002
10.313042163848877,13,37.8,198975488,1,0.0104051
10.39777946472168,13,47.2,198975488,1,0.01040536
10.480458498001099,13,36.3,198975488,1,0.01040562
10.573889255523682,13,53.5,198975488,1,0.0068058400000000005
10.654035806655884,13,37.4,198975488,1,0.010606079999999999
10.734845638275146,14,49.5,198975488,1,0.013206360000000004
10.821330547332764,14,57.8,198975488,1,0.011206640000000002
10.898427724838257,14,38.9,198975488,1,0.011206920000000002
10.981950998306274,14,59.9,198975488,1,0.011207200000000002
11.062654256820679,14,62.0,198975488,1,0.007607439999999997
11.14446473121643,14,36.7,198975488,1,0.007807660000000001
11.227718353271484,14,48.0,198975488,1,0.010607899999999998
11.314934492111206,14,57.3,198975488,1,0.00960814
11.396949529647827,14,48.8,198975488,1,0.00960838
11.478402614593506,14,49.1,198975488,1,0.00960862
11.565866231918335,14,45.7,198975488,1,0.009608859999999999
11.640373945236206,14,53.7,198975488,1,0.013209140000000003
11.718082666397095,14,51.5,198975488,1,0.0058093599999999995
11.79884672164917,14,49.5,198975488,1,0.008809580000000001
11.887594223022461,14,45.1,198975488,1,0.010609819999999999
11.960143327713013,14,55.1,198975488,1,0.011410080000000003
12.040774583816528,14,37.2,198975488,1,0.01041034
12.121798276901245,14,61.7,198975488,1,0.0104106
12.200745582580566,14,38.0,198975488,1,0.010410860000000001
12.28167200088501,14,49.4,199241728,1,0.008611099999999998
12.362418174743652,14,37.2,199241728,0.0,0.0
12.44281792640686,14,49.7,199241728,1,0.014411540000000004
12.52902340888977,14,69.6,199241728,1,0.02661198
12.619220733642578,14,44.3,199241728,1,0.0014122400000000019
12.698271036148071,14,38.0,199241728,1,0.010412500000000002
12.780237674713135,14,36.6,199241728,1,0.010412760000000002
12.863179683685303,14,60.4,199241728,1,0.006812980000000001
12.947303771972656,14,47.5,199241728,0.0,0.0
13.029146671295166,14,48.9,199241728,0.0,0.0
13.108004093170166,14,63.4,199241728,0.0,0.0
13.188926219940186,14,61.8,199241728,0.0,0.0
13.27063775062561,14,36.7,199241728,0.0,0.0
13.34828495979309,14,51.5,199241728,0.0,0.0
13.462461471557617,14,35.0,199241728,1,0.018014360000000004
13.549482822418213,14,68.9,199241728,1,0.01201466
