time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213363.7769237,0,0.0,198758400,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.068749,0,0.0,207695872,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.2331498,0,0.0,207695872,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.383503,0,0.0,207695872,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.5058146,0,0.0,207962112,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.6441777,0,0.0,207962112,1,0.02080066
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.7821383,7,0.0,209342464,1,0.011000959999999999
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213364.9262035,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.0721955,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.2095165,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.3554873,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.4935975,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.6564505,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.8126419,7,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213365.95627,8,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213366.1027136,8,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213366.251385,8,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213366.409717,8,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213366.5609632,8,0.0,209342464,0.0,0.0
time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
1678213366.7309077,8,0.0,209342464,0.0,0.0
