time,fps,cpu usage,Memory usage,PID curling,PID adjustment intesity
5.502951145172119,0,0.0,228134912,0.0,0.0
6.0709052085876465,0,133.8,227581952,0.0,0.0
6.660950660705566,3,16.9,227487744,1,0.02450028
7.224557876586914,3,17.7,227569664,1,0.01290059
7.801937580108643,3,19.1,227409920,1,0.005200820000000001
8.373501062393188,3,17.5,225386496,0.0,0.0
8.949029684066772,3,17.4,225394688,0.0,0.0
9.526555061340332,3,19.0,227274752,0.0,0.0
10.139641523361206,3,16.3,227250176,1,0.01500129
10.723744869232178,3,17.1,227389440,0.0,0.0
11.322570562362671,3,16.7,227274752,1,0.009001670000000002
11.906081199645996,3,17.1,231469056,1,0.012501920000000001
12.483530759811401,3,17.3,231464960,1,0.00820215
13.05399775505066,3,19.3,231473152,1,0.01190241
13.619682788848877,3,17.7,231477248,1,0.016702740000000004
14.193588018417358,3,17.4,231477248,1,0.014103080000000002
14.763915538787842,3,19.3,231477248,1,0.024403539999999998
15.335376262664795,3,17.5,231485440,1,0.018404
15.940076112747192,3,18.2,231485440,1,0.01750445
16.49361228942871,3,16.3,231485440,1,0.021604939999999996
17.044806003570557,3,18.1,231485440,1,0.022305460000000003
17.588124990463257,3,20.2,231485440,1,0.025306029999999997
18.13161301612854,3,18.4,231489536,1,0.01560652
18.697494506835938,3,21.2,231497728,1,0.008806890000000001
